,name,country,city,town,address,total space (sqft),colocation space (sqft),total power (MW),latitude,longitude
0,EXA Infrastructure,switzerland, Geneva, 1217 Meyrin,Chemin de l'Epinglier 2,,,,46.2017559,6.1466014
1,NexTDC,australia, Perth WA,11 Newcastle Street,,129166.93,,20.0,-31.9558933,115.8605855
2,OVHCloud,usa, Virginia 20187, Warrenton,6872 Watson Ct,,,,33.711823,-117.7924143
3,LeaseWeb,germany, Kalbach-Riedberg, 60437 Frankfurt am Main,Heinrich-Lanz-Allee 47,215278.0,,10.0,50.1766221,8.6320784
4,Amazon AWS,usa, VA 20152, Chantilly,43701 Clubber Ln,150000.0,,,,
5,Stream Data Centers,usa, Texas, San Antonio,9550 Westover Hills Blvd,75840.0,30000.0,10.8,31.2638905,-98.5456116
6,IBM Cloud,australia,Sydney NSW,,,,,,-33.8698439,151.2082848
7,Amazon AWS,usa, VA, Sterling,21111 Ridgetop Circle,,,,37.1232245,-78.4927721
8,Amazon AWS,usa, VA, South Riding,25410 Sutton Bay Plz,145000.0,,,,
9,Global Switch,germany, Frankfurt am Main Mitte-West, 60489 Frankfurt am Main,Eschborner Landstraße 110,127682.0,,,50.123521249999996,8.600043263716817
10,Amazon AWS,usa, VA, Ashburn,43790 Devin Shafron Drive,,,,,
11,IBM Cloud,brazil, São Paulo, 1157 - Vila Mariana,Rua Tutóia,,,,,
12,Microsoft Azure,qatar,Doha,,,,,,25.2856329,51.5264162
13,NTT Communications,brazil, São Paulo, 71 - Bela Vista,Avenida Paulista,,,,,
15,Amazon AWS,japan, Chiba, Inzai, 2 Chome-３-12 Otsuka,,,,35.549399,140.2647303
16,Amazon AWS,usa, VA 20147, Ashburn,44854 Interconnection Plz,150000.0,,,,
17,EdgeConnex,ireland, Dublin, Dublin 22, Kilmahuddrick,,,7.0,53.3493795,-6.2605593
18,165 Halsey Street,usa, NJ 07102, Newark, Halsey Street,180000.0,40000.0,80.0,,
19,DataHub Asia,bangladesh, Dhaka 1212,87 Rd # 4,,,4000.0,,23.780471849999998,90.35832872412647
20,NexTDC,australia, Brisbane City QLD,20 Wharf St,,17760.45,,2.25,-27.4689682,153.0234991
21,OVHCloud,france, 59820 Gravelines,Route de la Ferme Masson,,,,,50.97948161352657,2.1475109507246377
22,NexTDC,australia, Bruce ACT,19 Battye Street,,24326.44,,4.4,-35.2453517,149.0916334
23,Polaris Data Centre,australia, Springfield Central QLD 4300,11 Mary Mackenroth Ln,,156077.0,78652.0,0.06,-27.6861177,152.9037832
24,STACK INFRASTRUCTURE,usa, TX, Plano,6653 Pinecrest Drive,294000.0,247000.0,82.0,31.2638905,-98.5456116
25,IBM Cloud,usa, CA, Santa Clara,3105 Alfred Street,,,,36.7014631,-118.755997
26,Amazon AWS,usa, VA 20109, Manassas, 7500 Bethlehem Rd,,,,,
27,STACK INFRASTRUCTURE,italy, Province of Pavia, Siziano, 8/10,,,5.0,45.3979757,11.8611057
28,NexTDC,australia, West Footscray VIC,25 Indwe Street,,1076391.0,,150.0,-37.80174125,144.88407387594185
29,IBM Cloud,japan, Tokyo, Chuo City, 19-21 Nihonbashi-Hakozakichō,,,,35.6821936,139.762221
30,Amazon AWS,brazil, Jundiaí - State of São Paulo, Brasil - Jardim Ermida I, Jundiaí - São Paulo,,,,,
31,Microsoft Azure,china,Shanghai,,,,,,31.2323437,121.4691024
32,IBM Cloud,usa, TX, Dallas,4849 Alpha Road,,,,31.2638905,-98.5456116
33,Carrier One Inc,usa, TX, Dallas,1515 Round Table Drive,107000.0,,8.0,31.2638905,-98.5456116
34,Amazon AWS,israel,Shoham,,,,,,32.0004845,34.9465419
35,IBM Cloud,spain,Madrid,,,,,,40.4167047,-3.7035825
36,LeaseWeb,usa, VA 20109, Manassas, 11680 Hayden Rd,,,0.25,,
37,STACK INFRASTRUCTURE,italy, PV, 27010 Siziano, 8/10,75347.37,,10.0,45.036854649999995,9.137825082826026
38,NTT Communications,south korea,Seoul,,,,,,37.5666791,126.9782914
39,LeaseWeb,usa, CA 95131, San Jose,1735 Lundy Ave,157908.0,,,,
40,HostDime,brazil, 58030-040, João Pessoa - PB, 1223 - Estados,20000.0,,,,
41,Equinix,usa, CA 95119, San Jose,5 Great Oaks Boulevard,193000.0,,,,
42,China Telecom,china, Guangdong, Dongguan,Zhangmutouzhen,,,,23.1357694,113.1982688
43,MOD Mission Critical,usa, WA, Seattle,2001 6th Avenue,400400.0,290000.0,,47.2868352,-120.212613
44,Enzu,usa, CA, San Francisco,201 Paul Ave,,,,36.7014631,-118.755997
45,Tel Networks Inc.,usa, NY, New York,32 Ave of the Americas,,,,43.1561681,-75.8449946
46,China Telecom,china, Jiangsu, Wuxi, Binhu,,,,33.0000001,119.9999999
47,Colocation America,usa, IL, Elk Grove Village,2200 Busse Rd,485000.0,100000.0,36.4,40.0796606,-89.4337288
48,China Telecom,china, Sichuan Sheng, Chengdu Shi, Wuhou Qu,,,,30.5000001,102.4999999
49,China Telecom,china, Jiangsu, Nanjing,Jianye,,,,33.0000001,119.9999999
50,Iron Mountain Data Centers,usa, VA, Manassas, 11680 Hayden Road,,,,37.1232245,-78.4927721
51,MOD Mission Critical,usa, TN, Franklin,4600 Carothers Parkway,80000.0,15000.0,6.0,35.7730076,-86.2820081
52,Xfernet,ireland, Dublin, Ballycoolen,14 Northwest Business Park,,,,53.3493795,-6.2605593
53,Psychz Networks,russia, Moscow, 10,улица 7,178821.0,,,55.7505412,37.6174782
54,Tel Networks Inc.,usa, NY, Albany,194 Washington Avenue,,,,43.1561681,-75.8449946
55,China Telecom,china, Sichuan, Mianyang, Fucheng,,,,30.5000001,102.4999999
56,Zenlayer,china, Sichuan, Chengdu, Wuhou,,,,30.5000001,102.4999999
57,China Telecom,china, Jiangsu Sheng, Changzhou Shi, Zhonglou Qu,,,,33.0000001,119.9999999
58,CoreSite,usa, CA, Santa Clara,2901 Coronado Drive,50000.0,,,36.7014631,-118.755997
59,Enzu,hong kong, Tsuen Wan,168 Yeung Uk Road,,,,,22.3716605,114.1134699
60,China Telecom,china, Hubei, Xiaogan, Xiaonan,,,,31.15305035,112.88064226239663
61,Nxtra by Airtel,india, Uttar Pradesh, Noida,Sector 62,,,4.0,27.1303344,80.859666
62,Digital Realty,brazil, 13185-252, Hortolândia - SP, 4 - Jardim Santa Izabel,32000.0,,3.0,-30.55010885,-52.51652319428324
63,Enzu,usa, CA, San Francisco,200 Paul Avenue,,,,36.7014631,-118.755997
65,China Telecom,china, Zhejiang, Ningbo,Zhenhai,,,,29.0000001,119.9999999
66,China Telecom,china, Jiangsu, Changzhou,Wujin,,,,33.0000001,119.9999999
67,China Telecom,china, Shanghai Shi, Hongkou Qu,Si Chuan Bei Lu,,,,31.2323437,121.4691024
68,MOD Mission Critical,japan, Osaka, Chuo Ward,Shiromi,131223.0,,,34.661629000000005,135.49992679245517
69,China Telecom,china, Sichuan, Panzhihua, Eastern District,,,,30.5000001,102.4999999
70,Enzu,usa, NJ, Clifton,2 Peekay Drive,,,,40.0757384,-74.4041622
71,NorthC,netherlands, 3045 PV Rotterdam,Tempelhof 5-11,,116250.0,49514.0,7.3,51.95319565714286,4.448005914285714
72,China Telecom,china, Beijing, Daxing,16 Shuangyang Rd,,,,39.9057136,116.3912972
73,MOD Mission Critical,usa, CA, San Diego,9305 Lightwave Avenue,100000.0,56342.0,2.9,36.7014631,-118.755997
74,China Telecom,china, Jiangxi Sheng, Nanchang Shi, Xihu Qu,,,,28.0,116.0
75,China Telecom,china, Hunan Sheng, Changsha Shi, Furong Qu,,,,27.6662087,111.7487063
76,Zenlayer,china, Hubei, Wuhan, Qiaokou,,,,31.15305035,112.88064226239663
77,China Telecom,china, Beijing,Shunyi,,,,,39.9057136,116.3912972
78,China Telecom,germany, 60313 Frankfurt am Main,Taubenstraße 7,,,,,50.115315636342324,8.682280852872216
79,China Telecom,china, Beijing, Tongzhou, Kechuang 9th Street,,,,39.9057136,116.3912972
80,Cologix,canada, ON, Markham,105 Clegg Rd,120000.0,,13.0,50.000678,-86.000977
81,Limestone Networks,france, 93200 Saint-Denis,114 Rue Ambroise Croizat,,,,,48.93346144469136,2.3549686854320986
82,Cologix,usa, MN, Minneapolis,511 11th Avenue South,28000,28000,,45.9896587,-94.6113288
84,DartPoints,usa, SC 29201, Columbia,1000 Catawba Street ste 180,15000,5000,,17.756638199999998,-64.58357751615026
85,FOGO Solutions,usa, LA 70112, New Orleans,935 Gravier Street 10th floor,21000,7000,0.35,,
86,Digital Realty,germany, 60314 Frankfurt am Main,Weismüllerstraße 34,,54000,,9.6,50.113769684240005,8.712718914
87,AtlasEdge Data Centres,denmark, 2450 Copenhagen,Borgmester Christiansens Gade 55,,19375,12916,3.5,55.648417818630755,12.53605183227834
88,Centersquare,usa, CA, Santa Clara,2401 Walsh Avenue,271872,168500,8.0,36.7014631,-118.755997
89,Digital Realty,switzerland, 8152 Glattbrugg,Bäulerwisenstrasse 4,,67800,,12.0,47.4326312,8.5647892
90,Zenlayer,usa, CA, Los Angeles,624 South Grand Avenue,,,,36.7014631,-118.755997
91,QTS Data Centers,usa, Arizona 85004, Phoenix,120 East Van Buren Street,288000,,32.0,,
92,Datacenter United,belgium, Burcht 2070 Zwijndrecht,Antwerpsesteenweg 221/223,,,,,51.2028046,4.3416362
93,Cologix,usa, TX, Dallas,1950 North Stemmons Freeway,13000,,,31.2638905,-98.5456116
94,Centersquare,usa, VA, Sterling,22810 International Drive,556457,556457,47.0,37.1232245,-78.4927721
95,Equinix,netherlands, Amsterdam,Gyroscoopweg 2E,,36597,36597,6400.0,52.3730796,4.8924534
96,HostDime,usa, CA 90017, Los Angeles,600 W 7th St,490000,,,,
97,China Telecom,brazil, 02675-031, Osasco - SP, 350 - Vila Menck,,,,-23.493941075,-46.75062385
98,Equinix,peru, Lima,Centauro 115,,8094,,0.7,-12.0621065,-77.0365256
99,MOD Mission Critical,singapore,15 Pioneer Walk,,,363302,219263,,1.3216524,103.6958287
100,Switch Data Centers,usa, TX, Austin,4100 Smith School Road,,,,31.2638905,-98.5456116
101,Lumen,usa, TN, Memphis,3993 Crowfarn Drive,13000,1514,,35.7730076,-86.2820081
102,MOD Mission Critical,canada, ON, Toronto,151 Front Street West,25000,25000,,50.000678,-86.000977
103,Flexential,usa, CO 80202, Denver,1500 Champa Street suite 100,35380,7580,1.25,,
104,TierPoint,usa, Oklahoma 73112, Oklahoma City,4114 Perimeter Center Place,69000,34000,2.6,35.5377266,-97.5103397
105,DataBank,usa, TX, Dallas,8600 Harry Hines Boulevard,23000,12560,0.675,31.2638905,-98.5456116
106,TierPoint,usa, AR, Little Rock,15707 Chenal Parkway,30000,9000,,35.2048883,-92.4479108
107,Cirion Technologies,brazil, Rio de Janeiro - RJ,Quinta da Boa Vista - Parque Quinta da Boa Vista - São Cristóvão,,5000,4000,5.0,-22.9110137,-43.2093727
108,Cogent Communications,usa, NY, New York,25 Broadway,42371,42371,,43.1561681,-75.8449946
109,DartPoints,usa, SC 29303, Spartanburg,5700 N Blackstock Rd,21400,7000,,17.756638199999998,-64.58357751615026
110,DataBank,usa, TX 77041, Houston,11003 Corporate Centre Dr,162000,41860,4.5,,
111,ManagedWay,usa, MI, Troy,600 Executive Drive,50000,25000,4.0,43.6211955,-84.6824346
112,"Handy Networks, LLC",usa, Ohio, Cleveland,1625 Rockwell Ave,500000,351000,10.0,40.2253569,-82.6881395
113,Digital Realty,brazil, 21535-510, Rio de Janeiro - State of Rio de Janeiro, 513 - Pavuna,32000,,3.0,-22.8730922,-43.2481833
114,IPXON Networks,colombia, Bogota,Cra. 68 #169a-73,,6458,3768,1100.0,4.6533816,-74.0836333
115,NorthC,germany, 81541 Munich,Balanstraße 73,,53820,21527,2.0,48.12021610552933,11.584935443695214
116,NorthC,netherlands, 1014 BB Amsterdam,Kabelweg 48a,,53820,26910,2.4,52.39209438636364,4.8478109636363635
117,TierPoint,usa, MO, Kansas City,10801 North Amity Avenue,27000,5700,,33.512691,131.304743
118,Green Colo LTD,uk, Fareham, Portchester, Cams Hall Estate,"2,000","1,500",2.0,50.8526637,-1.1783134
119,Lumen,usa, MD, Baltimore,300 West Lexington Street,50958,8123,,39.5162401,-76.9382069
120,ScaleMatrix,usa, TX, Allen,820 Allen Commerce Parkway,16000.0,,7.2,31.2638905,-98.5456116
121,Hivelocity,usa, IL, Chicago,725 South Wells Street,,6000.0,0.6,40.0796606,-89.4337288
122,Digital Realty,france, Ivry-sur-Seine,11-15 Rue Galilée,,15069.0,,4.0,48.8122302,2.3872525
123,H5 Data Centers,usa, CA, San Luis Obispo,3610 Sacramento Dr,44000.0,,,36.7014631,-118.755997
124,China Telecom,china, Beijing,Fengtai District,,,,,39.9057136,116.3912972
125,IPXON Networks,argentina, Córdoba,Coronel Pedro Zanni 250,,9687.0,5382.0,1900.0,-31.4166867,-64.1834193
126,Tel Networks Inc.,canada, NL, St. John's,Allandale Rd near Confed Bldg,,,,53.8217327,-61.2295532
127,Enzu,usa, TX, Austin,7500 Metro Center Dr,,,,31.2638905,-98.5456116
128,DEAC European Data Center Operator,latvia, Rīga, Latgales priekšpilsēta,Čuibes iela 17,149.0,56.0,2.0,56.9493977,24.1051846
129,Equinix,usa, VA 20147, Ashburn,22175 Beaumeade Circle,36000.0,,,,
130,Cologix,canada, BC, Vancouver,555 West Hastings Street,5000.0,5000.0,,55.001251,-125.002441
131,MOD Mission Critical,usa, NC 28262, Charlotte,10105 David Taylor Drive,62589.0,10000.0,3.3,35.38989575,-80.71022221657768
132,FirstLight,usa, NH, Lebanon,16 Cavendish Court,,,,43.4849133,-71.6553992
133,Performive,usa, GA, Marietta,1130 Powers Ferry Place,,,,32.3293809,-83.1137366
134,24Shells Inc,uk, London,1 Paul Julius Cl,,,,,51.5074456,-0.1277653
135,DataBank,usa, TX 77041, Houston,5150 Westway Park Blvd,162000.0,110190.0,23.7,,
136,Digital Realty,usa, TX, Dallas,8435 North Stemmons Freeway,35000.0,,4.0,31.2638905,-98.5456116
137,Cologix,usa, TX, Dallas,1950 North Stemmons Freeway,12000.0,12000.0,,31.2638905,-98.5456116
138,Cologix,usa, MN, Minneapolis,511 11th Ave S,16000.0,,3.4,45.9896587,-94.6113288
139,Tonaquint Datacenters,usa, OK, Oklahoma City,4442 Newcastle Rd,65000.0,20000.0,2.5,34.9550817,-97.2684063
140,China Telecom,china, Guangdong, Qingyuan,Qingcheng,,,,23.1357694,113.1982688
141,Equinix,canada, BC V5C 6C6, Burnaby,4185 Still Creek Drive suite c 150,48524.0,3696.0,,-6.0613871,-49.9063016
142,123NET,usa, MI, Southfield,24245 Northwestern Hwy,,8000.0,1.5,43.6211955,-84.6824346
143,DartPoints,usa, SC 29456, Ladson,8480 Palmetto Commerce Pkwy,15000.0,5000.0,,17.756638199999998,-64.58357751615026
144,Enzu,usa, FL, Miami,50 NE 9th St,,,,27.7567667,-81.4639835
145,Deft,usa, IL, Chicago,350 E Cermak Rd,1133739.0,,100.0,40.0796606,-89.4337288
146,Stellar Technologies Inc.,usa, AZ, Tempe,3011 South 52nd Street,,,,34.395342,-111.763275
147,Struxture,canada, BC, Burnaby,4590 Canada Way,54000.0,25000.0,10.0,55.001251,-125.002441
148,MOD Mission Critical,usa, AZ, Phoenix,3402 East University Drive,,90000.0,,34.395342,-111.763275
149,Digital Realty,canada, ON L4L 8R2, Vaughan, Woodbridge,711000.0,,27.6,,
150,Digital Realty,belgium, Zaventem,Mercuriusstraat 27,,72000.0,,,50.8806207,4.4730008
151,Equinix,china, Shanghai, Pudong,700 Jinyu Road,30755.0,10781.0,,31.2323437,121.4691024
152,Hivelocity,india, Maharashtra, Pune, Hinjawadi,,,,18.9068356,75.6741579
153,Digital Realty,france, 77600 Ferrières-en-Brie,16 Avenue Joseph Froelicher,,60000.0,,20.0,48.8213887,2.7045126
154,Acehost Data Centers,usa, FL, Tampa,412 East Madison Street,10000.0,8000.0,2.5,27.7567667,-81.4639835
155,MOD Mission Critical,usa, WA 99336, Kennewick,4916 West Clearwater Avenue,,,,,
156,H5 Data Centers,usa, NJ, Secaucus,200b Meadowlands Parkway,38000.0,,,40.0757384,-74.4041622
157,China Telecom,china, Beijing, Xicheng,11 Xi Chang An Jie,,,,39.9057136,116.3912972
158,Digital Realty,mexico, Querétaro, Villa Progreso, San José,258000.0,,31.0,20.8052225,-99.8837376
159,Prime Data Centers,usa, IL, Elk Grove Village,1501 Midway Ct,354000.0,156000.0,54.0,40.0796606,-89.4337288
161,Amazon AWS,ireland, Co. Meath, Drogheda, Rathmullan,,,,53.6497514,-6.5885310235914645
162,Amazon AWS,germany, 65428 Rüsselsheim,Karl-Landsteiner-Ring 4,,,,,49.982022884094306,8.427255118670098
163,AIMS Data Centre SDN BHD,malaysia, Federal Territory of Kuala Lumpur, 50200 Kuala Lumpur, Bukit Ceylon,6500.0,5000.0,5.0,3.1526589,101.7022205
164,Amazon AWS,uk,Didcot OX11 7YS,,,,,,51.6056908,-1.2467923
165,Google,chile, Región Metropolitana, Quilicura,El Molino 2130,,,,-33.5036125,-70.7588544
166,CtrlS Datacenters LTD,india, Telangana 500032, Nanakramguda, Financial District,,191749.0,10.0,17.4298912,78.3702951
167,Amazon AWS,ireland, Dublin 15, Blanchardstown,Snugborough Road,,,,53.39493455,-6.389208544937581
168,Hetzner,germany, Nuremberg,Sigmundstraße 135,,430566.0,,1.2,49.453872,11.077298
170,Amazon AWS,usa, VA, Manassas,11200 Thomasson Barn Road,149404.0,,,37.1232245,-78.4927721
171,Amazon AWS,usa, VA, Manassas, 8180 Bethlehem Rd,215500.0,,,37.1232245,-78.4927721
172,Amazon AWS,ireland, Dublin 24, Tymon North,30A Greenhills Road,230791.0,,,53.2479888,-6.424349898216628
174,Amazon AWS,usa, VA 20169, Haymarket,15455 John Marshall Hwy,147187.0,,,41.838558,-71.425049
175,Airtrunk,australia, Huntingwood NSW,35 Huntingwood Dr,,376737.0,,130.0,-33.797973,150.881592
176,Amazon AWS,usa, VA 20109, Manassas,8190 Bethlehem Rd,147530.0,,,,
177,Amazon AWS,usa, VA, Sterling,45360 West Severn Way,108000.0,,,37.1232245,-78.4927721
178,Microsoft Azure,south africa, 2191, Johannesburg, Sandton,,,,-26.314182164285715,27.68743599285714
179,Microsoft Azure,south korea,Seoul,,,,,,37.5666791,126.9782914
180,Seek,australia, Brisbane Airport QLD,Lomandra Drive,,3861.0,900.0,6.0,-27.387621250000002,153.12158203524928
181,Apple Inc.,china, Guizhou,Guiyang,,,,,27.0,107.0
182,Microsoft Azure,poland,Warsaw,,,,,,52.2319581,21.0067249
183,IBM Cloud,usa, TX, Dallas,1950 North Stemmons Freeway,,,,31.2638905,-98.5456116
184,IBM Cloud,netherlands, 1066 VH Amsterdam,Johan Huizingalaan 765,,,,,52.3432793952381,4.830386352380952
185,Apple Inc.,china, Inner Mongolia,Ulanqab,,,,,43.2443242,114.3251664
186,STACK INFRASTRUCTURE,switzerland, VD, 1196 Gland,Route des Avouillons 32/34 36,165764.22,,30.0,46.6356963,6.5320717
187,Amazon AWS,usa, VA 20152, South Riding,25420 Sutton Bay Plz,145000.0,,,,
188,Amazon AWS,ireland, Dublin,Clonshaugh Business & Technology Park,,,,,53.3493795,-6.2605593
189,Oracle,usa, VA,Ashburn,,,,,37.1232245,-78.4927721
190,NTT Communications,indonesia, Jakarta, South Jakarta City, Mampang Prapatan,,,,-6.175247,106.8270488
191,Your DC,australia,Edinburgh SA 5111,,,65659.0,24856.0,8.0,-34.7191379,138.6350042
192,Seek,australia, Artarmon NSW 2064,5 Broadcast Way,,552.0,,1.8,-33.8084051,151.184511
193,Amazon AWS,ireland, Dublin, Tymon North,Greenhills Road,,,,53.3493795,-6.2605593
194,NexTDC,australia, Tullamarine VIC 3043,75 Sharps Rd,,161458.66,,40.0,-37.704658,144.8717732
195,Oracle,jeddah saudi arabia,,,,,,,,
196,Amazon AWS,usa, VA 20166, Sterling,22945 International Dr,155000.0,,,41.838558,-71.425049
197,Oracle,india, Maharashtra,Mumbai,,,,,18.9068356,75.6741579
198,Amazon AWS,japan, Chiba, Inzai, 2 Chome Otsuka,,,,35.549399,140.2647303
199,NX Data,romania, Bucharest,Bulevardul Dimitrie Pompeiu 8,,,10764.0,1.0,44.4361414,26.1027202
200,SBA Edge,brazil, State of São Paulo,São Paulo,,43056.0,,,-23.45872135,-46.542661123110825
201,Rackspace,germany, 60528 Frankfurt am Main,Lyoner Straße 28,,3046.19,,2.4,50.08361544049521,8.643779496964855
202,1547 Critical Systems Realty,usa, TX, McAllen, South 10th Street,209000.0,,1.5,31.2638905,-98.5456116
203,Hivelocity,usa, GA, Atlanta,250 Williams Street Northwest,,,,32.3293809,-83.1137366
204,Digital Realty,usa, VA 20147, Ashburn,43881 Devin Shafron Drive bldg b,135000.0,,,,
205,Equinix,brazil, Rio de Janeiro - State of Rio de Janeiro, 360 - Botafogo,Rua Voluntários da Pátria,55972.0,15065.0,1.02,,
206,Digital Realty,usa, MA, Needham,105 Cabot Street,133000.0,40000.0,10.0,18.3414575,-64.9335173
207,Hivelocity,usa, IL, Chicago,350 East Cermak Road,,,,40.0796606,-89.4337288
208,Civicos Networking,spain, San Cristóbal de La Laguna, 2,Calle la Isa,120.0,100.0,0.5,28.4857715,-16.3159422
209,Psychz Networks,usa, VA, Herndon,13873 Park Center Rd,,,,37.1232245,-78.4927721
210,Flexential,usa, FL 33637, Tampa,8350 Parkedge Dr,60166.0,60166.0,3.0,46.441062,-87.916286
211,China Telecom,south korea, Gyeonggi-do,Anyang,,,,,37.2884675,127.0535231
212,Cirion Technologies,colombia, Bogota, Bogotá,Cra. 68 #169a-27,14990.0,7216.0,7.0,4.6533816,-74.0836333
213,Hivelocity,uk, London E14 2AA,Coriander Ave,,,,,51.5156177,-0.0919983
214,Anacondaweb,chile, Región Metropolitana, Santiago,Av Libertador Bernardo O'Higgins 580,3000.0,2000.0,1.2,-33.5036125,-70.7588544
215,Equinix,japan, Tokyo, Koto City,Edagawa,54659.0,20322.0,6000.0,35.6821936,139.762221
216,AtlasEdge Data Centres,netherlands, 1114 AM Duivendrecht,Van der Madeweg 12-14a,,,7986.82,,52.32687496341463,4.924553626829268
217,Digital Realty,ireland, D, Dublin 22, Kilmahuddrick,59202.0,,4.6,53.4552319,-6.1538414
218,Iron Mountain Data Centers,india, Maharashtra, Pune, Hinjawadi,50186.0,,2.0,18.9068356,75.6741579
219,1547 Critical Systems Realty,usa, IL, Chicago,40 E Garfield Blvd,230000.0,52000.0,5.0,40.0796606,-89.4337288
220,Cologix,canada, QC, Saint-Laurent,7350 Rue Frederick Banting,325000.0,70000.0,20.0,52.4760892,-71.8258668
221,Evocative,usa, CA, El Segundo,2260 East El Segundo Boulevard,100000.0,,15.0,36.7014631,-118.755997
222,Zenlayer,india, West Bengal 700054, Kolkata,Ultadanga,,,,22.56854645,88.41443830500717
223,H5 Data Centers,usa, GA, Atlanta,345 Courtland Street Northeast,110000.0,45000.0,35.0,32.3293809,-83.1137366
224,T5 Data Centers,usa, MN, Minneapolis,1001 3rd Avenue South,330000.0,47000.0,10.4,45.9896587,-94.6113288
225,CyrusOne,spain, Madrid, Alcobendas, 5A,64584.0,,18.0,40.4167047,-3.7035825
226,antage Data Centers,usa, WA, Quincy,2101 M Street Northeast,775000.0,512000.0,89.0,47.2868352,-120.212613
227,QTS Data Centers,netherlands, 9979 XZ Eemshaven,Huibertgatweg 2,,236806.0,113021.0,36.0,53.436918266666666,6.859528033333333
228,Digital Realty,usa, FL 33132, Miami,36 Northeast 2nd Street,162000.0,134000.0,2.0,,
229,NorthC,germany, 90475 Nuremberg,Am Tower 5,,113021.0,53820.0,6.0,49.40721518088889,11.176885907833332
230,Zenlayer,india, Karnataka 560066, Bengaluru, Brookefield,,,,12.9684352,77.7481843
231,TierPoint,usa, SD, Sioux Falls,5300 North La Mesa Drive,25000.0,25000.0,,44.6471761,-100.348761
232,Data Canopy,usa, VA, Ashburn,44664 Guilford Drive,150000.0,7000.0,28.4,37.1232245,-78.4927721
233,US Signal,usa, MI, Southfield,21648 Melrose Avenue,,,,43.6211955,-84.6824346
234,CyrusOne,usa, VA, Sterling,21111 Ridgetop Circle,420000.0,132000.0,48.0,37.1232245,-78.4927721
235,QTS Data Centers,usa, New Jersey 07302, Jersey City,95 Christopher Columbus Drive,120000.0,51000.0,3.0,,
236,Equinix,uk, Manchester, Archway,Reynolds House,28911.0,20526.0,2.7,53.4794892,-2.2451148
237,123NET,usa, MI 49315, Byron Center,400 76th St SW,,3500.0,1.0,,
238,OneNeck IT Solutions,usa, WI 53711, Fitchburg,5515 Nobel Dr,60000.0,,,41.145138,-104.7689332
239,Digital Realty,usa, TX, Carrollton,2440 Marsh Lane,135250.0,60000.0,12.0,31.2638905,-98.5456116
240,Netrality Data Centers,usa, TX, Houston,1301 Fannin Street,784143,231700.0,26.0,31.2638905,-98.5456116
241,Cloudsmart,usa, CT, Branford,4 Pin Oak Drive,20000,,1.0,41.6500201,-72.7342163
242,Flexential,usa, CO, Englewood,8636 South Peoria Street,240549,140000.0,18.0,38.7251776,-105.607716
244,DartPoints,usa, OH, Cincinnati, West 3rd Street,14715,13408.0,,40.2253569,-82.6881395
245,Zenlayer,usa, GA, Atlanta,250 Williams Street Northwest,18000,,1.6,32.3293809,-83.1137366
246,Rackspace,hong kong, Fo Tan,8 Wong Chuk Yeung Street,,13273,,1.2,22.3951537,114.19810125947764
247,"Daun Penh Data Center Co., Ltd (DPDC)",cambodia, Phnom Penh,Hun Sen Boulevard,,7965,1044.0,,11.568271,104.9224426
248,Hut 8,canada, BC,Vancouver,,6210,4155.0,1.0,55.001251,-125.002441
249,Cologix,usa, NJ, Cedar Knolls,9 Wing Drive,50000,50000.0,,40.0757384,-74.4041622
250,China Telecom,china, Shandong, Weihai, Huancui District,,,,36.398987,118.5055691
251,Enzu,netherlands, Amsterdam,Science Park Amsterdam 610,,,,,52.3730796,4.8924534
252,China Telecom,china, Shanghai, Pudong Xinqu, Fushan Road,,,,31.2323437,121.4691024
253,DataVerge,usa, NJ, Jersey City, Town Square Place,10000,,0.6,40.0757384,-74.4041622
254,Equinix,usa, FL, Boca Raton,4680 Conference Way South,31310,19000.0,2.5,27.7567667,-81.4639835
255,DataBank,usa, MA, Boston,1 Summer Street,8994,7760.0,0.5,18.3414575,-64.9335173
256,Digital Fortress,usa, WA, Seattle,3101 Western Avenue,24000,,3.0,47.2868352,-120.212613
257,TRG Datacenters,usa, LA, Baton Rouge,One American Place,150000,150000.0,25.0,34.0536909,-118.242766
258,Digital Realty,usa, IL, Northlake,505 North Railroad Avenue,251000,,40.0,40.0796606,-89.4337288
259,H5 Data Centers,usa, VA 20151, Chantilly,4050 Lafayette Center Dr,"145,000",,16.4,38.8907693,-77.3482828
260,Digital Realty,usa, NY 10013, New York, 6th Avenue,132500,132500.0,9.5,,
261,Digital Realty,uk, Redhill, St Annes Blvd,Digital Realty London LGW10 LGW11 LGW12,127000,,26.0,51.2404691,-0.1682816
262,FIBERTOWN,usa, TX, Bryan,110 N Main St,47000,25000.0,0.3,31.2638905,-98.5456116
263,Cologix,canada, QC, Montreal,625 Boulevard René-Lévesque Ouest,4421,4421.0,,52.4760892,-71.8258668
264,Zenlayer,hong kong, Tseung Kwan O Industrial Estate,3 Chun Cheong Street,,,,,22.284649,114.271717
265,H5 Data Centers,usa, NC, Charlotte,10105 David Taylor Drive,100000,60000.0,,35.6729639,-79.0392919
266,24Shells Inc,usa, CA, Los Angeles,6171 West Century Boulevard,,,,36.7014631,-118.755997
267,Hivelocity,usa, FL, Tampa,5908 Hampton Oaks Parkway suite d,30200,30200.0,,27.7567667,-81.4639835
268,Xfernet,usa, CA, Los Angeles, Central LA,,,1.6,36.7014631,-118.755997
